step,loss,direction_accuracy,token_accuracy,tau,learning_rate,timestamp
98000,3.7552304039001463,0.5403023422956467,0.09541242590546609,0.0,1.133962142893204e-05,2025-08-22T06:57:48.130109
98500,3.757782108306885,0.5385655546188355,0.09481311090290546,0.0,1.1169455254285253e-05,2025-08-22T06:59:55.351353
99000,3.76005792093277,0.5392372753620148,0.0943106646835804,0.0,1.1004998418887186e-05,2025-08-22T07:02:02.563669
99500,3.7559063439369202,0.5417270004749298,0.09635127107799053,0.0,1.0846363633238017e-05,2025-08-22T07:04:09.766347
100000,3.745791967391968,0.5394970586299896,0.09536448080092669,0.0,1.0693659617695846e-05,2025-08-22T07:06:16.984051
100500,3.7467337923049926,0.5413131068944931,0.09598042982816696,0.0,1.0546991027965189e-05,2025-08-22T07:08:25.653189
101000,3.7495456619262697,0.5406340448856354,0.0973806254863739,0.0,1.0406458383371184e-05,2025-08-22T07:10:32.815486
101500,3.739344452857971,0.5411413855552674,0.09808170188963414,0.0,1.0272157997968681e-05,2025-08-22T07:12:39.994139
102000,3.7551303009986876,0.5409628140926361,0.09586350218951702,0.0,1.0144181914533377e-05,2025-08-22T07:14:47.138511
102500,3.7342443680763244,0.5427617384195328,0.09905332608520985,0.0,1.002261784148031e-05,2025-08-22T07:16:54.312138
103000,3.746106071949005,0.5423145744800567,0.09673532211780549,0.0,9.90754909275289e-06,2025-08-22T07:19:01.465164
103500,3.7423732233047486,0.5416555714607239,0.09656311090290547,0.0,9.799054530723684e-06,2025-08-22T07:21:08.607115
104000,3.7313160963058474,0.543900680065155,0.10113356077671051,0.0,9.697208512146082e-06,2025-08-22T07:23:15.761958
104500,3.7638902840614317,0.5402739690542221,0.09471037107706069,0.0,9.602080837193893e-06,2025-08-22T07:25:22.940263
105000,3.730876428604126,0.5420993118286133,0.09823923608660698,0.0,9.513736701623798e-06,2025-08-22T07:27:30.065277
105500,3.743858501911163,0.5422842417955398,0.09694422616064549,0.0,9.43223665209343e-06,2025-08-22T07:29:38.988586
106000,3.731686180114746,0.5437725023031235,0.09948630055785179,0.0,9.357636544665714e-06,2025-08-22T07:31:46.214140
106500,3.7340082564353945,0.5410919737815857,0.09763943165540695,0.0,9.289987506527925e-06,2025-08-22T07:33:53.403229
107000,3.7303087577819825,0.5442265127897262,0.10043052762746811,0.0,9.229335900951659e-06,2025-08-22T07:36:00.602957
107500,3.7397986092567446,0.5423693697452545,0.09793150606751443,0.0,9.175723295517763e-06,2025-08-22T07:38:07.816021
108000,3.727621593952179,0.543552833199501,0.10017759227752686,0.0,9.12918643362799e-06,2025-08-22T07:40:14.981371
108500,3.716689875602722,0.5444598790407181,0.10071183855831622,0.0,9.08975720932291e-06,2025-08-22T07:42:22.196593
109000,3.719156454563141,0.5455229908227921,0.10275391316413879,0.0,9.057462645423331e-06,2025-08-22T07:44:29.371100
109500,3.720642228603363,0.5446634021997452,0.1014021518677473,0.0,9.032324875010199e-06,2025-08-22T07:46:36.588712
110000,3.705367576122284,0.5454496043920517,0.10441927510499954,0.0,9.014361126255697e-06,2025-08-22T07:48:43.815896
110500,3.7286573371887206,0.5443679016828536,0.1003512711673975,0.0,9.003583710615909e-06,2025-08-22T07:50:52.640002
111000,3.720606977939606,0.5445694681406021,0.10080821846425533,0.0,2.9999999990004744e-05,2025-08-22T07:52:59.801520
111500,3.726193612098694,0.5441281763315201,0.10086839443445206,0.0,2.999749127987996e-05,2025-08-22T07:55:06.953306
112000,3.7270177936553956,0.5433634986877441,0.09995547868311405,0.0,2.9989986332448178e-05,2025-08-22T07:57:14.062600
112500,3.7552855229377746,0.5405215233564377,0.09637377641350031,0.0,2.9977488719657904e-05,2025-08-22T07:59:21.229549
113000,3.7430084676742554,0.5434681960344314,0.09900978398323058,0.0,2.9960004389695954e-05,2025-08-22T08:01:28.390149
113500,3.743915798664093,0.5419691740274429,0.09803718142956495,0.0,2.9937541664156448e-05,2025-08-22T08:03:35.540525
114000,3.727479299545288,0.5459657503366471,0.10266438272595406,0.0,2.9910111234080157e-05,2025-08-22T08:05:42.707407
114500,3.7498814511299132,0.5429574335813523,0.09827543940395117,0.0,2.9877726154866176e-05,2025-08-22T08:07:49.875765
115000,3.7364482555389404,0.5433023438453675,0.09886643767356873,0.0,2.9840401840058243e-05,2025-08-22T08:09:57.019674
115500,3.7442018280029297,0.5438767087459564,0.10005332604050636,0.0,2.9798156054008727e-05,2025-08-22T08:12:06.260123
116000,3.7340151596069338,0.5448439284563065,0.10130283682793378,0.0,2.975100890342376e-05,2025-08-22T08:14:13.418567
116500,3.734192777633667,0.5442040073871612,0.10105283683538437,0.0,2.969898282779354e-05,2025-08-22T08:16:20.586442
117000,3.7510088963508608,0.5422725001573563,0.09841389365494252,0.0,2.964210258871235e-05,2025-08-22T08:18:27.779530
117500,3.730457404136658,0.5429192720651627,0.09950489178299904,0.0,2.9580395258093363e-05,2025-08-22T08:20:34.929425
118000,3.718525141239166,0.5449393290281296,0.10208121246099472,0.0,2.9513890205283898e-05,2025-08-22T08:22:42.094126
118500,3.7432507863044737,0.5451922651529312,0.10010909897089004,0.0,2.944261908308719e-05,2025-08-22T08:24:49.281445
119000,3.7392549638748167,0.5427994099855423,0.09998776841163635,0.0,2.936661581269738e-05,2025-08-22T08:26:56.429404
119500,3.741374858379364,0.5447167272567749,0.10057044906914234,0.0,2.928591656755484e-05,2025-08-22T08:29:03.603401
120000,3.7074913363456727,0.547409486413002,0.10564334577322006,0.0,2.9200559756129603e-05,2025-08-22T08:31:10.763861
120500,3.7177773361206055,0.5463052793741227,0.10356262160837651,0.0,2.9110586003641002e-05,2025-08-22T08:33:19.555539
121000,3.714007079601288,0.5463214237689972,0.10354990142583848,0.0,2.9016038132722262e-05,2025-08-22T08:35:26.760269
121500,3.7081260452270506,0.5467558662891387,0.10504990133643151,0.0,2.891696114303924e-05,2025-08-22T08:37:33.994657
122000,3.707864511489868,0.546978959441185,0.10579843385517597,0.0,2.8813402189873036e-05,2025-08-22T08:39:41.192335
122500,3.7102624225616454,0.546634046792984,0.10357925549149513,0.0,2.870541056167662e-05,2025-08-22T08:41:48.415271
